PId,Village/Farm/Marketno,Studysite,Status,Sampletype,Sample1or2,Season,Uniqueid,TBXcount,StatusTBX,ESBLcount,StatusESBL,KPCcount,StatusK,CTXM,NDM1,pH,Conductivity,Temp,GISND,GISNM,GISED,GISEM,GISlat,GISlong
TR001,1,Rural household,High exposure,Compound soil,1,Winter,11211TR001,0,Negative,0,Negative,0,Negative,0,0,,,,,,,,,
TR001,1,Rural household,High exposure,Drinking water,1,Winter,11311TR001,0,Negative,0,Negative,0,Negative,0,0,7.4,173,25.4,,,,,,
TR001,1,Rural household,High exposure,Waste water,1,Winter,11411TR001,220000,Positive,260,Positive,0,Negative,0,174999.38,7.7,202,22.7,,,,,,
TR001,1,Rural household,High exposure,Downstream river water,1,Winter,11611TR001,217,Positive,169,Positive,0,Negative,0,0,7.6,262,22.7,24,5.384,90,6.273,24.08973,90.10455
TR001,1,Rural household,High exposure,Poultry pens,1,Winter,11811TR001,22000000,Positive,150000,Positive,0,Negative,45929.34,101832.32,,,,,,,,,
TR001,1,Rural household,High exposure,Poultry caecal sample,1,Winter,11911TR001,22000000,Positive,0,Negative,0,Negative,0,0,,,,,,,,,
TR001,1,Rural household,High exposure,Human faeces,1,Winter,111011TR001,3600000,Positive,0,Negative,0,Negative,0,0,,,,,,,,,
TR001,1,Rural household,High exposure,Poultry caecal sample-2,2,Winter,111911TR001,22000000,Positive,0,Negative,0,Negative,0,0,,,,,,,,,
TR002,2,Rural household,High exposure,Compound soil,1,Winter,11211TR002,2800,Positive,0,Negative,0,Negative,0,0,,,,,,,,,
TR002,2,Rural household,High exposure,Drinking water,1,Winter,11311TR002,0,Negative,0,Negative,0,Negative,0,0,7.8,253,25.3,,,,,,
TR002,2,Rural household,High exposure,Waste water,1,Winter,11411TR002,1400000,Positive,6000,Positive,0,Negative,211928.52,0,9.2,1154,24.5,,,,,,
TR002,2,Rural household,High exposure,Downstream pond water,1,Winter,11511TR002,98,Positive,4,Positive,0,Negative,0,0,8.7,111,23,,,,,,
TR002,2,Rural household,High exposure,Downstream river water,1,Winter,11611TR002,5000,Positive,450,Positive,0,Negative,0,0,7.9,247,24,24,5.745,90,5.907,24.09575,90.09845
TR002,2,Rural household,High exposure,Poultry pens,1,Winter,11811TR002,20000000,Positive,29000,Positive,0,Negative,35467.24,0,,,,,,,,,
TR002,2,Rural household,High exposure,Poultry caecal sample,1,Winter,11911TR002,820000,Positive,0,Negative,0,Negative,0,0,,,,,,,,,
TR002,2,Rural household,High exposure,Human faeces,1,Winter,111011TR002,5000000,Positive,0,Negative,0,Negative,0,0,,,,,,,,,
TR002,2,Rural household,High exposure,Animal manure,1,Winter,111211TR002,4000000,Positive,0,Negative,0,Negative,0,0,,,,,,,,,
TR003,3,Rural household,High exposure,Compound soil,1,Winter,11211TR003,0,Negative,0,Negative,0,Negative,0,0,,,,,,,,,
TR003,3,Rural household,High exposure,Drinking water,1,Winter,11311TR003,0,Negative,0,Negative,0,Negative,0,0,6.9,358,25.2,,,,,,
TR003,3,Rural household,High exposure,Waste water,1,Winter,11411TR003,100000,Positive,1400,Positive,0,Negative,78231.27,0,7.6,387,23.2,,,,,,
TR003,3,Rural household,High exposure,Downstream river water,1,Winter,11611TR003,3000,Positive,400,Positive,0,Negative,20746.7,70349.06,7.6,251,23.2,24,5.592,90,6.099,24.0932,90.10165
TR003,3,Rural household,High exposure,Poultry pens,1,Winter,11811TR003,71000000,Positive,63000,Positive,0,Negative,73926.15,4695.67,,,,,,,,,
TR003,3,Rural household,High exposure,Poultry caecal sample,1,Winter,11911TR003,36000,Positive,20,Positive,0,Negative,0,0,,,,,,,,,
TR003,3,Rural household,High exposure,Human faeces,1,Winter,111011TR003,25000000,Positive,46000,Positive,0,Negative,1139786.95,0,,,,,,,,,
TR003,3,Rural household,High exposure,Animal manure,1,Winter,111211TR003,6400000,Positive,0,Negative,0,Negative,318541.31,0,,,,,,,,,
TR004,4,Rural household,High exposure,Compound soil,1,Winter,11211TR004,100,Positive,0,Negative,0,Negative,0,0,,,,,,,,,
